t / s	DataSet / -	tstep / s	Line / -	Command / -	U / V	I / A	Ahstep / Ah	CycCount / -	State / -
19909.4892183333	3220	325.008979	9	Discharge	4.31517674594878	-0.0849988573237276	-0.00767376267047547	1	1
19914.4891896667	3221	330.008950333333	9	Discharge	4.31497471510717	-0.0850014743385567	-0.00779181723543321	1	1
19919.4900283333	3222	335.009789	9	Discharge	4.31497471510717	-0.084999729662004	-0.00790989226987419	1	1
19924.489151	3223	340.008911666667	9	Discharge	4.31497471510717	-0.0849979849854512	-0.00802792680316236	1	1
19929.4895216667	3224	345.009282333333	9	Discharge	4.31477268426556	-0.0850014743385567	-0.00814599080377462	1	1
19934.4897426667	3225	350.009503333333	9	Discharge	4.31477268426556	-0.0850014743385567	-0.00826405128552309	1	1
19939.4892996667	3226	355.009060333333	9	Discharge	4.31477268426556	-0.0849992934928658	-0.00838209605573687	1	1
19944.489112	3227	360.008872666668	9	Discharge	4.31457065342395	-0.0849984211545894	-0.00850014690094058	1	1
19949.4900366667	3228	365.009797333332	9	Discharge	4.31457065342395	-0.0849984211545894	-0.00861822394821188	1	1
19954.490476	3229	370.010236666666	9	Discharge	4.31457065342395	-0.0850010381694185	-0.00873628956336344	1	1
19959.491968	3230	375.011728666668	9	Discharge	4.31416659174073	-0.084999729662004	-0.00885438004120173	1	1
19964.4897913333	3231	380.009552	9	Discharge	4.31416659174073	-0.0849992934928658	-0.00897238390632783	1	1
19969.4902873333	3232	385.010048000002	9	Discharge	4.31416659174073	-0.0849992934928658	-0.00909045089592672	1	1
19974.4895093333	3233	390.009269999999	9	Discharge	4.31416659174073	-0.0850001658311422	-0.00920848777652891	1	1
19979.4903843333	3234	395.010145000001	9	Discharge	4.31396456089912	-0.0849992934928658	-0.00932656367228163	1	1
19984.489765	3235	400.009525666668	9	Discharge	4.31396456089912	-0.0850001658311422	-0.00944460430075031	1	1
19989.4909373333	3236	405.010698000001	9	Discharge	4.31376253005751	-0.0850010381694185	-0.00956268724449404	1	1
19994.491085	3237	410.010845666666	9	Discharge	4.31376253005751	-0.0850001658311422	-0.00968074599518882	1	1
19999.49139	3238	415.011150666666	9	Discharge	4.31376253005751	-0.0850027828459713	-0.00979880845193967	1	1
20004.4907386667	3239	420.010499333333	9	Discharge	4.3135604992159	-0.0849992934928658	-0.00991684834942196	1	1
20009.4910936667	3240	425.010854333333	9	Discharge	4.3135604992159	-0.0850006020002804	-0.0100349119921828	1	1
20014.491688	3241	430.011448666668	9	Discharge	4.31335846837429	-0.0849979849854512	-0.0101529812613229	1	1
20019.49094	3242	435.010700666668	9	Discharge	4.31335846837429	-0.0849979849854512	-0.0102710188603379	1	1
20024.4912593333	3243	440.011019999999	9	Discharge	4.31335846837429	-0.0850001658311422	-0.0103890816433812	1	1
20029.491028	3244	445.010788666667	9	Discharge	4.31315643753268	-0.0849992934928658	-0.0105071314383101	1	1
20034.4911003333	3245	450.010860999998	9	Discharge	4.31315643753268	-0.0849979849854512	-0.0106251883758557	1	1
20039.4921113333	3246	455.011872000001	9	Discharge	4.31315643753268	-0.0849988573237276	-0.0107432674401361	1	1
